Date,USA,China
1994,1,0
1996,2,0
1997,2,0
1998,1,0
1999,1,0
2000,1,0
2001,3,0
2003,3,0
2004,1,1
2005,5,0
2007,3,0
2008,1,0
2009,1,3
2010,5,3
2011,8,0
2012,6,3
2013,4,4
2014,5,7
